index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
584,2003-04-22,Sweden,3,0,0
585,2003-04-22,Switzerland,1,0,1
586,2003-04-22,Thailand,7,2,5
587,2003-04-22,United Kingdom,6,0,5
588,2003-04-22,United States,38,0,0
589,2003-04-22,Viet Nam,63,5,46
590,2003-04-23,Australia,4,0,3
591,2003-04-23,Brazil,2,0,0
592,2003-04-23,Canada,140,13,65
593,2003-04-23,China,2305,106,1231
594,2003-04-23,"Hong Kong SAR, China",1458,105,522
595,2003-04-23,"Taiwan, China",37,0,21
596,2003-04-23,France,5,0,1
597,2003-04-23,Germany,7,0,6
598,2003-04-23,India,1,0,1
599,2003-04-23,Indonesia,1,0,0
600,2003-04-23,Italy,3,0,2
601,2003-04-23,Japan,2,0,0
602,2003-04-23,Kuwait,1,0,1
603,2003-04-23,Malaysia,5,2,2
604,2003-04-23,Mongolia,3,0,3
605,2003-04-23,Philippines,2,1,1
606,2003-04-23,Republic of Ireland,1,0,1
607,2003-04-23,Romania,1,0,1
608,2003-04-23,Singapore,189,17,114
609,2003-04-23,South Africa,1,0,0
610,2003-04-23,Spain,1,0,0
611,2003-04-23,Sweden,3,0,0
612,2003-04-23,Switzerland,1,0,1
613,2003-04-23,Thailand,7,2,5
614,2003-04-23,United Kingdom,6,0,5
615,2003-04-23,United States,39,0,0
616,2003-04-23,Viet Nam,63,5,46
617,2003-04-24,Brazil,2,0,2
618,2003-04-24,Bulgaria,1,0,0
619,2003-04-24,Canada,140,15,67
620,2003-04-24,China,2422,110,1254
621,2003-04-24,"Hong Kong SAR, China",1488,109,567
622,2003-04-24,"Taiwan, China",37,0,21
623,2003-04-24,France,5,0,1
624,2003-04-24,Germany,7,0,6
625,2003-04-24,India,1,0,1
626,2003-04-24,Indonesia,1,0,1
627,2003-04-24,Italy,4,0,3
628,2003-04-24,Japan,2,0,0
629,2003-04-24,Kuwait,1,0,1
630,2003-04-24,Malaysia,5,2,2
631,2003-04-24,Mongolia,3,0,3
632,2003-04-24,Philippines,2,1,1
633,2003-04-24,Republic of Ireland,1,0,1
634,2003-04-24,Romania,1,0,1
635,2003-04-24,Singapore,192,19,118
636,2003-04-24,South Africa,1,0,0
637,2003-04-24,Spain,1,0,1
638,2003-04-24,Sweden,3,0,2
639,2003-04-24,Switzerland,1,0,1
640,2003-04-24,Thailand,8,2,5
641,2003-04-24,United Kingdom,6,0,6
642,2003-04-24,United States,37,0,0
643,2003-04-24,Viet Nam,63,5,49
644,2003-04-25,Brazil,2,0,2
645,2003-04-25,Bulgaria,1,0,0
646,2003-04-25,Canada,140,15,74
647,2003-04-25,China,2601,115,1277
648,2003-04-25,"Hong Kong SAR, China",1510,115,614
649,2003-04-25,"Taiwan, China",41,0,21
650,2003-04-25,France,5,0,1
651,2003-04-25,Germany,7,0,6
652,2003-04-25,India,1,0,1
653,2003-04-25,Indonesia,1,0,1
654,2003-04-25,Italy,4,0,3
655,2003-04-25,Japan,2,0,0
656,2003-04-25,Kuwait,1,0,1
657,2003-04-25,Malaysia,5,2,2
658,2003-04-25,Mongolia,3,0,3
659,2003-04-25,Philippines,2,1,1
660,2003-04-25,Republic of Ireland,1,0,1
661,2003-04-25,Romania,1,0,1
662,2003-04-25,Singapore,195,19,126
663,2003-04-25,South Africa,1,0,0
664,2003-04-25,Spain,1,0,1
665,2003-04-25,Sweden,3,0,2
666,2003-04-25,Switzerland,1,0,1
667,2003-04-25,Thailand,8,2,5
668,2003-04-25,United Kingdom,6,0,6
669,2003-04-25,United States,39,0,0
670,2003-04-25,Viet Nam,63,5,53
671,2003-04-26,Brazil,2,0,2
672,2003-04-26,Bulgaria,1,0,0
673,2003-04-26,Canada,142,18,77
